time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
0.000000000000000000e+00,-1.795153641745654127e+01,0.000000000000000000e+00,3.221592653589793187e+00,3.061592653589793045e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-6.350290960923314465e+00,-1.428870166277285136e-02,3.190700727252926416e+00,3.064911452038189044e+00,-7.073253382168678272e-01,-1.506549007635962445e+00,1.450646443277095465e-01
8.000000000000000167e-02,7.849926650954461849e-01,-4.687057047127651116e-02,3.122304619436323314e+00,3.071609494701774246e+00,-9.178679624201038223e-01,-1.881686060527836490e+00,1.649496446034594554e-01
1.199999999999999956e-01,3.596116223987564808e+00,-8.180753946963270629e-02,3.053674529476878785e+00,3.076232558531308392e+00,-8.281361554795203528e-01,-1.533012396101001151e+00,4.903988096094977905e-02
1.600000000000000033e-01,4.529548279781000275e+00,-1.108960709351347607e-01,3.004819032617255470e+00,3.074767382533310389e+00,-6.275128867091525064e-01,-9.092636230910788875e-01,-1.245876731654064068e-01
2.000000000000000111e-01,5.131518809692315664e+00,-1.314021479719625907e-01,2.982008329296038873e+00,3.066513879953590038e+00,-3.998435048509142442e-01,-2.405214652628352989e-01,-2.812241742419868129e-01
2.399999999999999911e-01,5.866812665745106514e+00,-1.425868648205045053e-01,2.985502061223355597e+00,3.053073590394419945e+00,-1.618199736633517960e-01,3.996023164512864101e-01,-3.784578411453658475e-01
2.800000000000000266e-01,6.671096614723412088e+00,-1.439753493056335765e-01,3.013627046850476443e+00,3.037452776191015058e+00,8.953825643634527598e-02,9.849626361605940961e-01,-3.849864469344761453e-01
3.200000000000000067e-01,7.435076640486976807e+00,-1.350362958074486919e-01,3.063576157291833635e+00,3.023919456396372940e+00,3.539413243447503410e-01,1.484534306098511003e+00,-2.683810333123276548e-01
3.599999999999999867e-01,8.256085511156939560e+00,-1.153557900820196130e-01,3.131158505207362275e+00,3.018022989340502171e+00,6.259284344487885399e-01,1.861782313392876365e+00,7.501509344519027844e-04
4.000000000000000222e-01,9.385486131166093315e+00,-8.466153884848764966e-02,3.211112379690488350e+00,3.026168824712128114e+00,9.040893617655143544e-01,2.101434549957397202e+00,4.330320506941487402e-01
4.400000000000000022e-01,1.095208802193034536e+01,-4.252037307287728773e-02,3.298298640580211938e+00,3.054665824804945640e+00,1.197874399923299027e+00,2.223994262108543118e+00,1.013415723686714065e+00
4.799999999999999822e-01,1.269258680364362135e+01,1.198298529010949354e-02,3.388709470952806502e+00,3.108894073871524277e+00,1.521715202334620987e+00,2.263299414688401789e+00,1.712872160344111716e+00
5.200000000000000178e-01,1.385916010903170204e+01,8.010833832714829572e-02,3.479212318208559473e+00,3.192902157461249057e+00,1.878348931432730184e+00,2.229674072172396215e+00,2.493818783629581315e+00
5.600000000000000533e-01,1.352482116746691965e+01,1.626363006354357155e-01,3.566254931964997876e+00,3.308704068839785961e+00,2.241458043538715472e+00,2.096192722960180888e+00,3.289089249815241534e+00
5.999999999999999778e-01,1.164646473988653597e+01,2.586670381660272078e-01,3.644985948502167616e+00,3.454572796498592613e+00,2.554051081688453628e+00,1.830130895835613725e+00,3.976951226605395018e+00
6.400000000000000133e-01,1.053318254502963391e+01,3.651692080711093080e-01,3.710608222432868253e+00,3.623303463626260434e+00,2.766905785923435612e+00,1.464430218040003506e+00,4.410946948072490770e+00
6.800000000000000488e-01,1.455504432077937516e+01,4.789681165585631395e-01,3.762682463945645761e+00,3.802862404287181253e+00,2.921015879674298432e+00,1.168765921459671286e+00,4.507824567398706961e+00
7.199999999999999734e-01,2.579368164370868044e+01,6.015285934898429998e-01,3.811103914237296664e+00,3.978944796254627825e+00,3.205055606155657877e+00,1.274598788295885354e+00,4.242211885875701860e+00
7.600000000000000089e-01,3.786605539555839073e+01,7.428778303745009470e-01,3.878927048534854816e+00,4.135394526595142395e+00,3.855757625982094705e+00,2.100737453930070942e+00,3.546080223749286997e+00
8.000000000000000444e-01,3.711639520144123594e+01,9.173548485746250147e-01,3.990418082948143930e+00,4.255904352771220367e+00,4.851693831776685784e+00,3.398498349571450472e+00,2.482257428694420565e+00
8.399999999999999689e-01,1.857388467677133193e+01,1.129140481997280121e+00,4.142650672062014650e+00,4.336802975012894912e+00,5.721080010330585885e+00,4.109939458087342956e+00,1.621708651056824824e+00
8.800000000000000044e-01,-3.810349879405829476e+00,1.362808042593362412e+00,4.297000541778572824e+00,4.397945333332939022e+00,5.964113936006683048e+00,3.567958406799724091e+00,1.483090688364292697e+00
9.200000000000000400e-01,-1.741125291705210287e+01,1.593459577346719502e+00,4.414667135638185691e+00,4.461732321775743415e+00,5.580375301910843078e+00,2.345681223009605798e+00,1.695303749551940298e+00
9.599999999999999645e-01,-2.290401282606821454e+01,1.802148921857161579e+00,4.482042090048333982e+00,4.533713265693567251e+00,4.863984213931134448e+00,1.057249017806488611e+00,1.889583188050969476e+00
1.000000000000000000e+00,-2.435702188943969659e+01,1.979990275794766053e+00,4.499273341076712285e+00,4.613354342528340979e+00,4.033345206600469801e+00,-1.849248162515617355e-01,2.102693218060911917e+00
1.040000000000000036e+00,-2.279745633996520837e+01,2.124182631640947339e+00,4.466685581391876880e+00,4.703892698907719883e+00,3.176160245346770772e+00,-1.453304404106663839e+00,2.450072886106369197e+00
1.080000000000000071e+00,-1.801828462085052251e+01,2.234774953862894264e+00,4.382989069271067351e+00,4.810197709920731590e+00,2.348187821638516137e+00,-2.739611685187261614e+00,2.872402960141886563e+00
1.120000000000000107e+00,-1.178512428058943051e+01,2.314495384446205950e+00,4.251143055479030153e+00,4.928557511776036293e+00,1.632431172979933010e+00,-3.846591892332685170e+00,3.007177147864260824e+00
1.159999999999999920e+00,-6.361558207173370505e+00,2.369163654412979270e+00,4.081784435371448971e+00,5.040223726509439395e+00,1.100022624160874596e+00,-4.622087283572874128e+00,2.519558531740429874e+00
1.199999999999999956e+00,-2.982100363819461641e+00,2.406304393828714971e+00,3.886765709425149318e+00,5.119822092293127902e+00,7.590007285926907432e-01,-5.144490403403380263e+00,1.408520954720668072e+00
1.239999999999999991e+00,-9.741448226451489001e-01,2.432564329405269898e+00,3.673195709691047917e+00,5.145476469187613588e+00,5.576322412851850707e-01,-5.543653282622772238e+00,-1.745631387508899124e-01
1.280000000000000027e+00,1.170036991691819406e+00,2.452827859579560954e+00,3.446308243727521869e+00,5.100848543589469486e+00,4.618111182666502779e-01,-5.778209273398327461e+00,-2.088084136605416141e+00
1.320000000000000062e+00,2.973878747778355258e+00,2.471789387661970760e+00,3.217780118978627701e+00,4.976902842359448798e+00,4.941838639617921469e-01,-5.579293518678641206e+00,-4.084625979725396761e+00
1.360000000000000098e+00,3.395636157723147974e+00,2.494331779837508645e+00,3.009541749599086380e+00,4.778346505413120227e+00,6.370767178700859068e-01,-4.742123899342568727e+00,-5.761169211088857267e+00
1.400000000000000133e+00,2.544138412062483923e+00,2.523186253746748875e+00,2.845832514972925775e+00,4.523047964818955435e+00,8.042121881591127730e-01,-3.370711012088363212e+00,-6.923364170353858427e+00
1.439999999999999947e+00,-3.816389683174072900e-01,2.557801596827937285e+00,2.743423180315092136e+00,4.228630418068444641e+00,9.240149476909269577e-01,-1.698910777696403418e+00,-7.770250692389810254e+00
1.479999999999999982e+00,-8.956256498423996959e+00,2.594760560632420443e+00,2.710045675919809938e+00,3.898837869821791369e+00,9.252619880818327980e-01,9.236179112473161257e-02,-8.770948906485791952e+00
1.520000000000000018e+00,-2.629950736544414269e+01,2.625675026201040652e+00,2.747242485470099194e+00,3.513522154454347124e+00,6.319949751808700000e-01,1.891236041217291053e+00,-1.064006151476006146e+01
1.560000000000000053e+00,-3.989106255438549908e+01,2.633580509950652182e+00,2.846477601428083481e+00,3.031108305226597466e+00,-2.118932945182696037e-01,2.903286196938797303e+00,-1.327247349402298937e+01
1.600000000000000089e+00,-3.452747415679331056e+01,2.598645183084015819e+00,2.907457319821605601e+00,2.510647871338374415e+00,-1.547565589518483220e+00,-5.346211100110743741e-01,-1.199830066392497052e+01
1.640000000000000124e+00,-2.376017308940311779e+01,2.513919360505545431e+00,2.798273790960245755e+00,2.089298208330210738e+00,-2.673231993024401287e+00,-4.809352231791294230e+00,-9.012798530913341821e+00
1.679999999999999938e+00,-1.606159068931249578e+01,2.395022576495476674e+00,2.554909786329245147e+00,1.790209183915331792e+00,-3.244340667941826961e+00,-7.159215025108468744e+00,-5.881903532447418037e+00
1.719999999999999973e+00,-6.831887688705962525e+00,2.262098588607678096e+00,2.251472090128399106e+00,1.612689119461360177e+00,-3.381651534884443588e+00,-7.867750991276896144e+00,-3.072455741047653621e+00
1.760000000000000009e+00,6.045434872865763865e+00,2.131554083017130452e+00,1.945266526358669257e+00,1.524610412734885845e+00,-3.147212793949203391e+00,-7.370045785570432884e+00,-1.510938199965603301e+00
1.800000000000000044e+00,1.744613718986495599e+01,2.017186187435491718e+00,1.675187654342875421e+00,1.468626802142805943e+00,-2.593823656172745018e+00,-6.138110667345691773e+00,-1.401442124391105493e+00
1.840000000000000080e+00,2.170099673905135162e+01,1.928784471207066753e+00,1.455141209457213813e+00,1.403478273024557854e+00,-1.847805594888692671e+00,-4.928763196207829544e+00,-1.849292922417199669e+00
1.880000000000000115e+00,2.042882204376245880e+01,1.870486721108006289e+00,1.275182678674719572e+00,1.322347232202116363e+00,-1.079112385657174711e+00,-4.136308231573758043e+00,-2.170811429795495240e+00
1.919999999999999929e+00,1.675269063217584531e+01,1.841002308946602550e+00,1.120051278610933565e+00,1.232291033182578488e+00,-4.015110384339030114e-01,-3.671220292119767858e+00,-2.304440560504891433e+00
1.959999999999999964e+00,1.299435032353525443e+01,1.835736878346028833e+00,9.803801093127820776e-01,1.138921551267408683e+00,1.342742739837171073e-01,-3.349436731709134474e+00,-2.345681953979104950e+00
2.000000000000000000e+00,1.000986243026943789e+01,1.849109628805687189e+00,8.527363212798745318e-01,1.044697037125425165e+00,5.315306376352678663e-01,-3.060970713157873391e+00,-2.351720189353644574e+00
2.040000000000000036e+00,7.835923235535753761e+00,1.876107262626236505e+00,7.365732197829206740e-01,9.507177182823188799e-01,8.162794814510615504e-01,-2.770162750880717617e+00,-2.335416291090949503e+00
2.080000000000000071e+00,6.269725865791127006e+00,1.912792524149025120e+00,6.320070602452557695e-01,8.579437084049299500e-01,1.016597896430128101e+00,-2.477986996111056328e+00,-2.292815098860279122e+00
2.120000000000000107e+00,5.113298857942229603e+00,1.956245159518423593e+00,5.388899994949324368e-01,7.675099888298507755e-01,1.155280571758539043e+00,-2.195559717745661388e+00,-2.219954286604808313e+00
