time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
0.000000000000000000e+00,-9.561153493570552442e+00,6.162975822039154730e-33,3.221592653589793187e+00,3.061592653589793045e+00,-3.549874073494553124e-30,-1.690196119194238185e-29,7.082414777489621126e-30
4.000000000000000083e-02,-5.272565086576803672e+00,-7.715077081801196765e-03,3.203312245201504815e+00,3.065517965943690637e+00,-3.817341938992752648e-01,-8.908048961076856509e-01,1.817581931253513805e-01
8.000000000000000167e-02,-2.087956828047678570e+00,-2.683356458093157787e-02,3.158991124089407521e+00,3.074950335411309243e+00,-5.712740104867488622e-01,-1.302330142123666157e+00,2.721793578878769493e-01
1.199999999999999956e-01,-3.042928875226945107e-01,-5.067216915594432297e-02,3.106009072667074378e+00,3.085782192664641599e+00,-6.188062235073251705e-01,-1.326970617707707412e+00,2.513072306456052840e-01
1.600000000000000033e-01,5.813190661127182191e-01,-7.480208249813262433e-02,3.057048130450024548e+00,3.093753354339134454e+00,-5.869003125546420341e-01,-1.108414692026986614e+00,1.348153688261479188e-01
2.000000000000000111e-01,1.138614646092457328e+00,-9.688867087744990059e-02,3.019448319014339521e+00,3.095871967925161172e+00,-5.174859673546551297e-01,-7.668394714572200899e-01,-3.362598144079026463e-02
2.399999999999999911e-01,1.774818268068580673e+00,-1.157876986285637511e-01,2.996672963644992027e+00,3.090975363261736941e+00,-4.281102535954873778e-01,-3.738743898102664387e-01,-2.093723047565879403e-01
2.800000000000000266e-01,2.676229615301429554e+00,-1.307047337940420162e-01,2.990126753351235234e+00,3.079521330010414282e+00,-3.188570667478606846e-01,3.895426716435593240e-02,-3.562644204758523281e-01
3.200000000000000067e-01,3.841434476388659647e+00,-1.406914994791567675e-01,3.000344236717318758e+00,3.063277710612448690e+00,-1.820900989558116301e-01,4.589072878609021244e-01,-4.442165346261089387e-01
3.599999999999999867e-01,5.149260528254692382e+00,-1.444997696046392832e-01,3.027375463422829593e+00,3.045152871466686673e+00,-1.051838259469725298e-02,8.741374585684178466e-01,-4.457929932447839416e-01
4.000000000000000222e-01,6.453018641395306787e+00,-1.406957616089839214e-01,3.070614724319718825e+00,3.029125328184213650e+00,1.978449120902844305e-01,1.263964199916866704e+00,-3.351105669171064450e-01
4.400000000000000022e-01,7.688139823530366179e+00,-1.278914728416934987e-01,3.128446879904927425e+00,3.020143437620504301e+00,4.387938278998566588e-01,1.599460414918693507e+00,-9.064217075748762231e-02
4.799999999999999822e-01,8.922450533597567457e+00,-1.049187605783644950e-01,3.198141709953277623e+00,3.023816126452034236e+00,7.056490697882018548e-01,1.854700799170338144e+00,2.976896889475650898e-01
5.200000000000000178e-01,1.026847783505184353e+01,-7.081258449757167617e-02,3.276251381607479640e+00,3.045819860946440194e+00,9.949754380636746109e-01,2.019652515581404018e+00,8.227852086128935039e-01
5.600000000000000533e-01,1.167453001919636613e+01,-2.464713546727423030e-02,3.359251349940479248e+00,3.091229561193870268e+00,1.308163401249570423e+00,2.099551242333445700e+00,1.462496438862611603e+00
5.999999999999999778e-01,1.271476481563753502e+01,3.451436634212291799e-02,3.443797335636057610e+00,3.163993063413652163e+00,1.644302657669684198e+00,2.098140176713930938e+00,2.182888141897643131e+00
6.400000000000000133e-01,1.258304886146162360e+01,1.072396169213768596e-01,3.526271610534505996e+00,3.266293403767121184e+00,1.986031252194538022e+00,2.000545659503534690e+00,2.928075404370474200e+00
6.800000000000000488e-01,1.064140337181808071e+01,1.928348827456963233e-01,3.602083656575711501e+00,3.397260428295128865e+00,2.288183867094883972e+00,1.777302628892402758e+00,3.599533874625803431e+00
7.199999999999999734e-01,7.713304320789765356e+00,2.884680271619403102e-01,3.665883480701638941e+00,3.551314531284048837e+00,2.489593232878314133e+00,1.420378420520989948e+00,4.063433310596273884e+00
7.600000000000000089e-01,7.201881153936189328e+00,3.896582954398858933e-01,3.713726101525165024e+00,3.718074031169934734e+00,2.568618459094088369e+00,9.980762610312216010e-01,4.223533128336052656e+00
8.000000000000000444e-01,1.402823006346767265e+01,4.935527244751313769e-01,3.747553078838923302e+00,3.884980119864648973e+00,2.626426453672250805e+00,7.228450750132380254e-01,4.073068327299475655e+00
8.399999999999999689e-01,3.006889106267767531e+01,6.045965480370413259e-01,3.782065113784549570e+00,4.038828574078975109e+00,2.924555485995924631e+00,1.013091701978067638e+00,3.583354083100960707e+00
8.800000000000000044e-01,4.704473321750109704e+01,7.384444243410370756e-01,3.848832164991231597e+00,4.163088641475172658e+00,3.758083115054222656e+00,2.285084363373935279e+00,2.615658242361746932e+00
9.200000000000000400e-01,4.609177049420230787e+01,9.155382637440208082e-01,3.980428975416704152e+00,4.239825835173535395e+00,5.069163315692711613e+00,4.168632569220681816e+00,1.260539824156498456e+00
